Word,Count
have,8073
great,5593
more,3648
husband,1137
extra,1105
cook,1037
kids,804
super,700
regular,643
ate,571
same,478
dry,476
italian,433
lovely,417
keeper,319
longer,300
mom,281
hubby,277
son,272
chef,268
friends,253
friend,227
daughter,227
baby,223
tell,218
mexican,217
vegetarian,206
heavy,193
guests,186
forward,163
mother,146
reviewers,126
vegan,122
fry,119
miss,118
reviewer,114
swiss,110
winner,107
favourite,102
children,98
boyfriend,95
asian,93
dad,89
crazy,86
prior,82
wife,80
cooks,80
thai,79
temp,77
straight,71
cajun,70
indian,70
diabetic,69
browning,67
kid,65
minor,64
boy,62
gourmet,61
sister,60
chefs,60
grandmother,59
american,57
german,54
equal,54
angel,52
boys,51
natural,48
uncle,47
major,45
grandma,44
dutch,43
aunt,42
maker,42
lover,41
parents,41
brother,41
adults,41
man,40
canadian,40
eve,40
girl,39
decadent,39
tough,38
aussie,38
lovers,38
toddler,37
daughters,37
closer,36
girls,35
granny,35
creole,34
weird,34
australian,34
colored,34
neighbor,33
king,32
divine,32
neighbors,32
guys,31
smith,31
virgin,30
ritz,30
father,29
trader,29
sons,29
begin,29
roma,29
guest,29
japanese,28
ordinary,28
adoptees,27
caesar,27
child,27
lady,27
foreman,26
george,26
watchers,26
dear,25
suspect,24
copycat,24
grind,24
girlfriend,24
convert,23
ladies,22
fiance,22
handy,22
toaster,22
british,21
worthy,21
oriental,21
author,20
sneak,20
members,20
mother-in-law,20
member,20
baker,19
korean,19
teenagers,19
african,19
sue,19
moroccan,19
fed,18
stiff,18
mama,17
mary,17
born,17
panini,17
husbands,17
lookout,16
russian,16
co-workers,16
fool,16
hungarian,16
familiar,15
married,15
nobody,15
beaters,15
leary,15
sisters,15
in-laws,15
fellow,15
woman,15
cousin,15
partner,15
grandson,14
novice,14
nurse,14
amish,14
co-worker,14
rustic,14
general,14
national,14
vietnamese,13
professional,13
nephew,13
superior,13
cutter,13
dr.,13
babies,13
arthur,13
moms,12
pitcher,12
doctor,12
hunt,12
mothers,12
guy,12
niece,12
belgian,12
squirt,11
god,11
confectioners,11
adult,11
grey,11
fatty,11
donna,11
sensitive,11
rachel,11
brave,11
grandmothers,11
farmers,11
bunches,11
persian,10
diner,10
boss,10
mason,10
watcher,10
valentines,10
fathers,10
judge,10
women,10
extras,10
cutters,10
marks,10
sis,10
farmer,10
scout,10
beginner,10
shaker,10
teenager,10
granddaughter,10
masher,10
mommy,9
pleaser,9
master,9
saver,9
anne,9
helper,9
seasonal,9
guide,9
sister-in-law,9
